712066.176203482, 712066.368634776, 192.4312940100208
712068.176204832, 712068.304907988, 128.703155904077
712070.176208448, 712070.308271442, 132.06299394369125
712072.176201663, 712072.300987449, 124.7857860289514
712074.176195756, 712074.308415109, 132.21935299225152
712076.176195688, 712076.298304104, 122.10841604974121
712078.176237701, 712078.297762998, 121.5252970578149
712080.176227547, 712080.297540963, 121.31341604981571
712082.176248991, 712082.297722358, 121.47336697671562
712084.175694957, 712084.304839368, 129.14441095199436
712086.17618112, 712086.297565089, 121.38396897353232
712088.176205231, 712088.297845188, 121.639956953004
712090.176180778, 712090.293900386, 117.71960800979286
712092.176229689, 712092.297699755, 121.47006602026522
712094.175701303, 712094.293706098, 118.00479504745454
712096.17623489, 712096.297557503, 121.32261297665536
712098.176184525, 712098.29729001, 121.10548501368612
712100.176184159, 712100.29573549, 119.55133103765547
712102.176193728, 712102.293714363, 117.52063501626253
712104.175713085, 712104.293784224, 118.07113897521049
712106.176220782, 712106.301360258, 125.13947603292763
712108.176214725, 712108.293926647, 117.7119220374152
712110.176151865, 712110.296567709, 120.41584390681237
712112.176177095, 712112.305513091, 129.3359959963709
712114.176166833, 712114.293917045, 117.75021196808666
712116.176187765, 712116.296694341, 120.50657602958381
712118.176159965, 712118.293840749, 117.68078396562487
712120.176192309, 712120.296888235, 120.69592601619661
712122.176202386, 712122.296889796, 120.68741000257432
712124.175831723, 712124.293513022, 117.68129898700863
712126.17624442, 712126.29349182, 117.24739999044687
712128.176207429, 712128.297545189, 121.33776000700891
712130.176190838, 712130.293271553, 117.08071501925588
712132.176189777, 712132.305266211, 129.07643406651914
712134.176217912, 712134.296906861, 120.68894901312888
712136.176201156, 712136.296919076, 120.7179200137034
712138.175888972, 712138.300410622, 124.52165002468973
712140.176208795, 712140.296942919, 120.73412397876382
712142.175813321, 712142.293540458, 117.72713693790138
712144.176247009, 712144.298147009, 121.90000002738088
712146.175988524, 712146.293333473, 117.34494904521853
712148.176198455, 712148.296991313, 120.79285795334727
712150.176208094, 712150.296804977, 120.59688300359994
712152.176192431, 712152.293448607, 117.25617595948279
712154.176213578, 712154.296823623, 120.61004503630102
712156.176189024, 712156.296608232, 120.4192079603672
712158.175795421, 712158.292992939, 117.1975180041045
712160.17620289, 712160.296829512, 120.62662199605256
712162.176190061, 712162.307342501, 131.15243997890502
712164.176201715, 712164.297380846, 121.17913097608835
712166.176168484, 712166.297099869, 120.93138496857136
712168.176213776, 712168.293454173, 117.24039702676237
712170.176182974, 712170.293493686, 117.31071199756116
712172.17619004, 712172.293041825, 116.85178498737514
712174.176213538, 712174.296661312, 120.4477739520371
712176.17619544, 712176.2970851, 120.88965997099876
712178.176233389, 712178.293391693, 117.1583040850237
712180.175803569, 712180.292815756, 117.01218702364713
712182.175707417, 712182.305794468, 130.0870510749519
712184.176213364, 712184.296888103, 120.67473900970072
712186.176187633, 712186.293991386, 117.80375300440937
712188.17619682, 712188.29382173, 117.62490996625274
712190.176187331, 712190.293369751, 117.18241998460144
712192.176176552, 712192.309343937, 133.16738500725478
712194.17618694, 712194.300358976, 124.17203595396131
712196.176189003, 712196.294147662, 117.95865895692259
712198.176174981, 712198.293844914, 117.66993289347738
712200.17617103, 712200.302462547, 126.29151693545282
712202.175776125, 712202.299437481, 123.66135593038052
712204.175816782, 712204.296769702, 120.9529199404642
712206.176188594, 712206.296747126, 120.55853207129985
712208.176224747, 712208.303669087, 127.44434003252536
712210.176213178, 712210.295918421, 119.70524303615093
712212.176200341, 712212.296651733, 120.45139202382416
712214.176194157, 712214.299061416, 122.86725896410644
712216.176210737, 712216.296779913, 120.56917604058981
712218.176202398, 712218.295623635, 119.42123691551387
712220.176194833, 712220.296470464, 120.27563096489757
712222.17619831, 712222.296818937, 120.62062695622444
712224.176220072, 712224.296621884, 120.4018120188266
712226.176211095, 712226.293604171, 117.39307607058436
712228.175862182, 712228.312182498, 136.32031599991024
712230.176219752, 712230.296884262, 120.66451006103307
Sent msgs: 84
Received msgs: 83
Elapsed_time(s): 166.50689458847046
